Alexis Ajinca,NOP,PF,4th,4.6,29.2,14.0,18.24,15.12,37
Donatas Motiejunas,NOP,C,19th,2.4,31.3,15.1,20.20,14.81,32
E'Twaun Moore,NOP,PG,25th,7.4,31.5,24.4,23.40,17.69,61
Solomon Hill,NOP,SF,5th,8.1,33.8,27.8,37.40,19.11,53
Langston Galloway,NOP,SG,1st,0,31.7,20.0,21.60,13.59,41
Buddy Hield,NOP,SG,25th,4.2,33.1,19.9,23.54,16.57,45
Vince Carter,MEM,SG,27th,0,25.6,23.5,15.40,10.98,58
Caris LeVert,BKN,SF,8th,6.7,35.1,19.8,24.72,18.89,45
Mirza Teletovic,MIL,PF,9th,0,27.9,16.0,16.90,11.95,34
Tony Snell,MIL,SF,30th,3.5,26.2,28.0,22.00,13.22,58
Matthew Dellavedova,MIL,SG,30th,8.1,34.6,25.9,27.30,19.41,58
Rashad Vaughn,MIL,SG,24th,0,16.3,10.7,0.00,0.00,0
Thon Maker,MIL,PF,25th,11.4,34.8,7.0,20.40,21.44,7
Randy Foye,BKN,SG,8th,2.8,25.7,18.5,20.68,12.59,45
Justin Hamilton,BKN,C,21st,3.5,30.1,19.2,15.81,14.94,52
Joe Harris,BKN,SF,8th,0,25.3,21.6,16.56,10.61,50
Spencer Dinwiddie,BKN,PG,3rd,0.1,27,20.7,18.81,11.64,47
Tony Allen,MEM,SG,27th,5.7,34.7,27.6,24.44,18.16,61
Shaun Livingston,GSW,PG,13th,6.3,20.2,16.9,17.50,12.29,63
Sergio Rodriguez,PHI,PG,23rd,0,29.2,22.2,12.20,10.37,51
Brandon Rush,MIN,SG,26th,2.3,30.9,17.3,27.04,14.55,3
Cole Aldrich,MIN,C,19th,0,19.5,8.7,8.30,6.61,14
Nemanja Bjelica,MIN,PF,12th,0,28.8,16.5,14.50,11.47,31
Shabazz Muhammad,MIN,SG,21st,4.3,30.7,19.2,18.60,15.61,45
Tyus Jones,MIN,PG,29th,0,27.2,12.9,11.88,9.20,12
Kris Dunn,MIN,PG,29th,0,26.2,16.1,13.80,9.29,25
Mike Miller,DEN,SG,12th,0,11.5,6.1,3.92,3.21,14
Jamal Murray,DEN,PG,3rd,3.5,36.2,19.4,19.10,17.50,40
Gerald Henderson,PHI,SG,12th,6.9,32.1,23.5,24.24,17.67,56
Nik Stauskas,PHI,SG,12th,8.3,32.6,26.5,27.84,18.74,59
Jahlil Okafor,PHI,C,18th,8,35.5,22.7,22.05,19.78,61
Richaun Holmes,PHI,PF,5th,2.6,31.1,15.5,16.56,14.84,45
Timothe Luwawu-Cabarrot,PHI,SG,12th,0,15.7,12.3,10.70,6.26,37
Gerald Green,BOS,SF,4th,1.3,23.7,11.0,14.50,10.89,34
Amir Johnson,BOS,PF,2nd,4.7,35,19.3,19.08,17.67,47
Jonas Jerebko,BOS,PF,2nd,0,20.9,16.4,14.70,8.85,44
Tyler Zeller,BOS,PF,30th,0,17.1,11.5,0.00,0.00,15
Kelly Olynyk,BOS,C,30th,16.8,47.8,20.7,27.56,30.07,54
James Young,BOS,SG,4th,0,16.4,6.6,5.82,4.47,0
Terry Rozier,BOS,PG,11th,5.7,30.3,17.5,22.44,16.27,47
Juan Hernangomez,DEN,SF,12th,21.3,54.6,12.5,38.52,35.59,10
Cameron Payne,OKC,PG,4th,2.6,23.4,15.7,15.98,11.54,48
Domantas Sabonis,OKC,PF,4th,2.2,25.8,21.1,23.23,12.29,49
Arron Afflalo,SAC,SG,14th,7,28.8,25.3,31.62,16.38,52
Anthony Tolliver,SAC,PF,6th,6.2,35.7,22.5,31.61,18.84,42
Kosta Koufos,SAC,C,6th,0.6,24.8,18.8,15.20,10.97,54
Ben McLemore,SAC,SG,14th,5.3,36.2,17.5,27.82,18.53,17
Willie Cauley-Stein,SAC,C,6th,0,26.8,12.5,11.90,11.07,30
Georgios Papagiannis,SAC,C,6th,0,2.1,3.0,0.00,0.00,0
Malachi Richardson,SAC,SG,14th,0,13.8,8.1,5.94,3.97,9
Jerami Grant,OKC,PF,16th,3.4,23.9,20.7,19.10,12.19,55
Courtney Lee,NYK,SG,29th,12.1,37.6,30.7,33.48,23.00,63
Lance Thomas,NYK,PF,27th,0,16.6,17.0,14.80,7.03,45
Justin Holiday,NYK,SF,29th,2.8,32.5,19.3,20.71,15.49,43
Ron Baker,NYK,SG,29th,4.5,26.1,12.4,21.20,13.78,28
Anthony Morrow,OKC,SG,9th,0,20.4,15.8,14.60,8.45,34
Andre Roberson,OKC,SF,9th,7.9,36.8,30.0,32.34,20.28,54
Alex Abrines,OKC,SG,9th,0,19.3,13.7,11.20,7.44,33
Joffrey Lauvergne,OKC,PF,24th,3.6,31.5,14.2,19.00,15.54,34
Brandan Wright,MEM,C,25th,0.5,21.4,13.6,11.10,9.44,53
Marcelo Huertas,LAL,PG,28th,0,13,10.4,0.00,0.00,21
Bismack Biyombo,ORL,C,13th,2.6,32.2,22.9,16.70,15.28,54
Cory Joseph,TOR,PG,18th,0.8,27.8,22.1,19.20,12.36,54
Jusuf Nurkic,POR,C,10th,5.9,43.7,17.4,25.44,22.13,39
Ed Davis,POR,C,3rd,8,34.1,16.8,25.00,19.18,40
Meyers Leonard,POR,PF,10th,3.6,32.3,15.7,22.66,15.88,29
Mike Tobey,CHA,C,16th,0,0,,0.00,0.00,0
Christian Wood,CHA,PF,8th,4.9,12.8,5.0,8.80,8.28,60
Delon Wright,TOR,PG,18th,10,10,9.0,10.60,9.99,0
Kay Felder,CLE,PG,16th,0,19,10.1,6.90,4.78,17
Jakob Poeltl,TOR,C,9th,2.8,20.3,10.2,17.67,10.28,26
Larry Nance Jr.,LAL,PF,20th,10.7,41.1,21.8,27.81,23.69,54
Derrick Williams,CLE,SF,27th,7.1,29.1,15.9,23.10,16.54,46
Tarik Black,LAL,C,23rd,6.1,29,15.9,19.00,15.90,55
Jordan Clarkson,LAL,PG,10th,7.5,35.9,26.8,23.76,19.67,63
