Raymond Felton,LAC,PG,25.71,2.52,0.55,2.99,3.29,0.87,0.29,1.48,7.62
Isaiah Whitehead,BKN,PG,21.07,2.28,0.50,2.49,2.48,0.45,0.49,2.36,7.44
Chasson Randle,PHI,PG,10.13,1.10,1.25,1.00,1.15,0.34,0.17,0.56,7.39
Tony Snell,MIL,SF,27.49,1.07,1.56,3.61,1.34,0.45,0.22,0.75,7.39
Marcus Georges-Hunt,MIA,SG,12.31,1.61,0.98,1.60,1.20,0.34,0.14,0.71,7.38
Sergio Rodriguez,PHI,PG,18.39,1.49,1.39,2.19,4.03,0.54,0.05,1.86,7.35
Marcus Smart,BOS,PG,26.25,1.46,0.96,3.56,3.68,1.00,0.23,1.91,7.34
Monta Ellis,IND,SG,25.23,2.27,0.45,2.84,3.04,0.96,0.27,1.95,7.22
Solomon Hill,NO,SF,30.18,1.23,1.28,4.95,2.53,1.00,0.57,1.45,7.13
Joe Johnson,UTA,SG,18.96,1.60,1.05,2.46,1.73,0.30,0.09,1.01,7.12
Amir Johnson,BOS,PF,20.72,2.90,0.10,5.11,1.70,0.50,0.55,1.23,7.11
Rodney Stuckey,IND,PG,20.96,2.15,0.24,2.60,2.21,0.50,0.07,1.55,7.10
Richaun Holmes,PHI,PF,15.03,2.79,0.11,3.51,0.74,0.36,0.75,0.84,7.09
Davis Bertans,SA,PF,15.27,0.72,1.53,2.28,1.03,0.35,0.51,0.75,7.03
Domantas Sabonis,OKC,PF,23.01,2.28,0.66,4.21,1.16,0.63,0.36,1.84,6.96
Anthony Morrow,OKC,SG,15.34,1.12,1.43,1.00,0.46,0.41,0.05,0.31,6.91
Joe Ingles,UTA,SG,25.12,0.58,1.74,3.40,2.80,1.12,0.05,1.45,6.85
Mike Tobey,CHA,C,11.89,2.54,0.09,3.94,0.72,0.27,0.53,0.84,6.79
Dewayne Dedmon,SA,PF,19.50,2.55,0.00,6.36,0.55,0.63,0.78,1.01,6.72
Rondae Hollis-Jefferson,BKN,SG,22.80,2.03,0.08,5.36,1.91,0.85,0.59,1.71,6.69
Malik Beasley,DEN,SG,7.76,1.71,0.83,0.89,0.65,0.37,0.01,0.28,6.68
Mike Muscala,ATL,PF,18.62,2.13,0.53,3.75,1.31,0.42,0.62,0.94,6.64
Trey Burke,WAS,PG,10.95,1.73,0.69,1.00,1.77,0.26,0.08,0.83,6.58
Randy Foye,BKN,PG,21.40,0.91,1.31,2.76,2.12,0.41,0.35,1.73,6.48
Jared Dudley,PHX,SF,17.66,1.04,1.28,3.07,1.64,0.56,0.16,0.98,6.47
Willie Reed,MIA,C,13.50,2.59,0.00,4.41,0.34,0.19,0.69,0.46,6.43
