4840,CLE,PHI,PG,39.51,43,0,-26.87,-1.04,1,42.2
4883,CLE,PHI,SF,2.79,10,0,4.4,-2.79,1,6.9
4884,CLE,PHI,C,23.3,14,0,1.195,-4.095,1,22.2
4898,CLE,PHI,SF,14.79,10,0,0,0,1,13.3
5685,CLE,PHI,PG,2.55,10,0,7.7,-2.55,1,3.5
3844,NY,MIA,SG,1.7,10,0,0,-1.7,0,24.6
4484,NY,MIA,SG,18.935,13,0,4.24,1.225,0,30.3
5083,NY,MIA,C,15.59,10,0,-5.77,-2.62,0,19.3
5142,NY,MIA,SG,16.1,10,0,-2.475,-1.225,0,21.8
5464,NY,MIA,PF,37.26,33,1,14.875,-3.535,0,33.9
5495,NY,MIA,C,26.75,18,0,0.645,-1.395,0,27.4
5704,NY,MIA,PG,17.195,10,0,-1.495,-5.5,0,26.1
5706,NY,MIA,PG,6.38,10,0,-1,-6.38,0,11.4
4507,MIA,NY,PG,35.875,33,0,7.645,-3.22,1,31.1
4621,MIA,NY,PF,27.845,24,0,-6.66,1.515,1,21.8
4633,MIA,NY,SG,13.14,10,0,-11.82,1.08,1,11.4
4731,MIA,NY,PF,10.61,10,0,2.095,0.495,1,5.5
4764,MIA,NY,C,37.96,37,1,-5.805,-1.855,1,37.2
5146,MIA,NY,C,15.485,10,0,-0.125,-0.96,1,6
5270,MIA,NY,SG,14.985,10,0,14.6,-1.885,1,23.5
5376,MIA,NY,PG,26.395,19,0,-19.255,0.66,1,23.1
5500,MIA,NY,SG,25.08,12,0,0.39,-0.97,1,14.7
5697,MIA,NY,PF,6.27,10,0,-0.375,-3.895,1,3.4
4626,SAC,NO,PG,22.695,17,0,14.1,0.005,0,19.5
5158,SAC,NO,SG,14.365,10,0,1.425,-9.59,0,28.1
5388,SAC,NO,SG,11.11,10,0,-8.86,-1.05,0,5.7
5466,SAC,NO,PF,28.06,20,1,1.95,-1.71,0,28.3
5637,SAC,NO,SG,24.23,16,0,-5.39,-0.04,0,27.6
5644,SAC,NO,C,8.57,10,0,19.225,-0.995,0,19.1
5659,SAC,NO,PF,23.6,11,0,-17.71,-2.49,0,20.6
4622,NO,SAC,SG,33.575,30,0,5.375,-3.55,1,28
4638,NO,SAC,SF,13.625,10,0,2.035,-1.86,1,26.4
4720,NO,SAC,C,48.51,50,0,0,0,1,66.1
4758,NO,SAC,SG,22.345,13,0,3.625,-5.77,1,23.4
4937,NO,SAC,SG,15.58,10,0,-10.6,-0.28,1,23.8
5007,NO,SAC,PF,49.675,55,0,26.69,-3.965,1,50.9
5193,NO,SAC,SF,19.17,11,0,6.25,-1.82,1,17
5414,NO,SAC,PG,17.795,10,0,1.105,-1.5,1,24.7
5588,NO,SAC,PG,1,10,0,0,0,1,5.5
3954,WAS,UTA,C,15.02,10,0,3.545,0.435,0,12.3
3983,WAS,UTA,C,16.725,17,0,4.225,3.55,0,22.7
4298,WAS,UTA,PF,15.36,10,0,-2.6,-0.46,0,3.4
4615,WAS,UTA,PG,9.73,10,0,-4.6,5.57,0,2.9
4716,WAS,UTA,PG,39.23,50,1,15.45,9.42,0,27.8
4894,WAS,UTA,PF,21.68,21,0,-9.03,5.75,0,15.4
4913,WAS,UTA,SG,12.755,15,0,-13.15,9.095,0,17.8
5009,WAS,UTA,SG,32.22,34,0,-17.25,5.23,0,32.1
5154,WAS,UTA,SF,21.165,27,0,-5.78,7.415,0,14.3
5475,WAS,UTA,SF,14.71,10,0,12.79,-3,0,17.8
3520,UTA,WAS,SF,18.315,10,0,14.135,-1.05,1,15.5
3724,UTA,WAS,PF,10.97,10,0,2.55,-0.32,1,12.1
4724,UTA,WAS,SF,37.26,35,0,-13.02,-1.74,1,38.9
4916,UTA,WAS,PG,15.56,10,0,1.2,-15.56,1,23.5
5197,UTA,WAS,C,38.04,35,1,16.36,0.9,1,35.5
5209,UTA,WAS,C,7.295,10,0,2.375,0.93,1,15.8
5316,UTA,WAS,PG,15.87,10,0,7.715,-12.985,1,17.8
5334,UTA,WAS,SG,22.43,15,0,13.9,-3.63,1,16.2
5393,UTA,WAS,SG,19.06,11,0,14.385,-2.145,1,27.1
3960,IND,TOR,SG,16.12,10,0,-7.165,-0.255,0,22.1
3966,IND,TOR,SG,22.94,10,0,13.855,-1.495,0,15.4
4290,IND,TOR,PF,23.215,15,0,0.43,-1.845,0,23.6
4304,IND,TOR,PG,11.5,10,0,-12.33,-0.67,0,17.1
4624,IND,TOR,PG,32.43,28,0,4.69,2.48,0,33.3
4725,IND,TOR,SF,38.93,42,1,18.735,-0.265,0,44.3
4932,IND,TOR,PF,10.445,10,0,-0.54,0.495,0,3.8
5471,IND,TOR,C,27.925,22,0,-0.775,5.95,0,32.3
5496,IND,TOR,C,10.85,10,0,-3.6,-1.65,0,1.5
4163,TOR,IND,SF,17.4,14,0,0.735,4.865,1,18.4
4486,TOR,IND,PF,26.97,25,0,0.55,0.38,1,36.9
4614,TOR,IND,SG,41.275,42,1,0.575,-0.45,1,57.3
